Object Identifier;REQ_Revision;Object_Type;Change_Indication;Object_Status;Implementation_Plan;Verification_Criteria;Safety_Level
BMW-mPADCP-SWS-SwcFaultMgr-2127;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_937;QM
BMW-mPADCP-SWS-SwcFaultMgr-2121;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_931;QM
BMW-mPADCP-SWS-SwcFaultMgr-2122;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_932;QM
BMW-mPADCP-SWS-SwcFaultMgr-2123;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_933;QM
BMW-mPADCP-SWS-SwcFaultMgr-2124;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_934;QM
BMW-mPADCP-SWS-SwcFaultMgr-2119;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_923;QM
BMW-mPADCP-SWS-SwcFaultMgr-2116;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_916;QM
BMW-mPADCP-SWS-SwcFaultMgr-2117;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_917;QM
BMW-mPADCP-SWS-SwcFaultMgr-1472;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_913;QM
BMW-mPADCP-SWS-SwcFaultMgr-1475;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2304;QM
BMW-mPADCP-SWS-SwcFaultMgr-2130;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_940;QM
BMW-mPADCP-SWS-SwcFaultMgr-2131;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_941;QM
BMW-mPADCP-SWS-SwcFaultMgr-2132;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_955;QM
BMW-mPADCP-SWS-SwcFaultMgr-2133;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_952;QM
BMW-mPADCP-SWS-SwcFaultMgr-2134;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_953;QM
BMW-mPADCP-SWS-SwcFaultMgr-2443;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7416;QM
BMW-mPADCP-SWS-SwcFaultMgr-2444;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7417;QM
BMW-mPADCP-SWS-SwcFaultMgr-2445;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7418;QM
BMW-mPADCP-SWS-SwcFaultMgr-2446;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7419;QM
BMW-mPADCP-SWS-SwcFaultMgr-2447;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7420;QM
BMW-mPADCP-SWS-SwcFaultMgr-2448;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7421;QM
BMW-mPADCP-SWS-SwcFaultMgr-1477;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_3244;QM
BMW-mPADCP-SWS-SwcFaultMgr-1478;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_3245;QM
BMW-mPADCP-SWS-SwcFaultMgr-2136;3;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_945;QM
BMW-mPADCP-SWS-SwcFaultMgr-2137;3;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_947;QM
BMW-mPADCP-SWS-SwcFaultMgr-2450;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7423;QM
BMW-mPADCP-SWS-SwcFaultMgr-2153;2;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2054;QM
BMW-mPADCP-SWS-SwcFaultMgr-2154;2;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2055;QM
BMW-mPADCP-SWS-SwcFaultMgr-2141;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4987;QM
BMW-mPADCP-SWS-SwcFaultMgr-2142;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4988;QM
BMW-mPADCP-SWS-SwcFaultMgr-2143;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4989;QM
BMW-mPADCP-SWS-SwcFaultMgr-2144;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4990;QM
BMW-mPADCP-SWS-SwcFaultMgr-2145;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4991;QM
BMW-mPADCP-SWS-SwcFaultMgr-1481;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3495;QM
BMW-mPADCP-SWS-SwcFaultMgr-1482;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3496;QM
BMW-mPADCP-SWS-SwcFaultMgr-1483;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_918;QM
BMW-mPADCP-SWS-SwcFaultMgr-1490;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_1796;QM
BMW-mPADCP-SWS-SwcFaultMgr-1491;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_1797;QM
BMW-mPADCP-SWS-SwcFaultMgr-1492;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_1798;QM
BMW-mPADCP-SWS-SwcFaultMgr-2151;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3149;QM
BMW-mPADCP-SWS-SwcFaultMgr-109;7;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3023;QM
BMW-mPADCP-SWS-SwcFaultMgr-111;6;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3025;QM
BMW-mPADCP-SWS-SwcFaultMgr-115;10;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3029;QM
BMW-mPADCP-SWS-SwcFaultMgr-119;9;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3033;QM
BMW-mPADCP-SWS-SwcFaultMgr-2507;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_6184;QM
BMW-mPADCP-SWS-SwcFaultMgr-2509;1;Requirement;Added;Approved;23-11_R-400;BMW_mPAD_CP_SRS_Power_management_6185;QM
BMW-mPADCP-SWS-SwcFaultMgr-2511;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_5738;QM
BMW-mPADCP-SWS-SwcFaultMgr-2515;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_5740;QM
BMW-mPADCP-SWS-SwcFaultMgr-1496;1;Requirement;Changed;Approved;23-11_R-440;BMW_mPAD_CP_SRS_Power_management_2032;QM
BMW-mPADCP-SWS-SwcFaultMgr-1498;7;Requirement;Added;Approved;23-11_R-480;BMW_mPAD_CP_SRS_Power_management_3841;QM
BMW-mPADCP-SWS-SwcFaultMgr-1502;1;Requirement;Added;Approved;23-11_R-480;BMW_mPAD_CP_SRS_Power_management_2940;QM
BMW-mPADCP-SWS-SwcFaultMgr-1504;1;Requirement;Added;Approved;23-11_R-460;BMW_mPAD_CP_SRS_Power_management_3479;QM
BMW-mPADCP-SWS-SwcFaultMgr-1506;1;Requirement;Added;Approved;23-11_R-440;BMW_mPAD_CP_SRS_Power_management_2942;QM
BMW-mPADCP-SWS-SwcFaultMgr-1508;2;Requirement;Changed;Approved;23-11_R-460;BMW_mPAD_CP_SRS_Power_management_2949;QM
BMW-mPADCP-SWS-SwcFaultMgr-2495;1;Requirement;Added;Approved;23-11_R-440;BMW_mPAD_CP_SRS_Power_management_5688;QM
BMW-mPADCP-SWS-SwcFaultMgr-2167;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2776;QM
BMW-mPADCP-SWS-SwcFaultMgr-2168;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2777;QM
BMW-mPADCP-SWS-SwcFaultMgr-2169;1;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2981;QM
BMW-mPADCP-SWS-SwcFaultMgr-2171;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2802;QM
BMW-mPADCP-SWS-SwcFaultMgr-2172;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2803;QM
BMW-mPADCP-SWS-SwcFaultMgr-2173;1;Requirement;Changed;Approved;23-11_R-480;BMW_mPAD_CP_SRS_Power_management_2804;QM
BMW-mPADCP-SWS-SwcFaultMgr-2175;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2806;QM
BMW-mPADCP-SWS-SwcFaultMgr-2176;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2807;QM
BMW-mPADCP-SWS-SwcFaultMgr-2177;2;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2808;QM
BMW-mPADCP-SWS-SwcFaultMgr-2521;2;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_7400;QM
BMW-mPADCP-SWS-SwcFaultMgr-2179;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2810;QM
BMW-mPADCP-SWS-SwcFaultMgr-2180;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2811;QM
BMW-mPADCP-SWS-SwcFaultMgr-2181;3;Requirement;Changed;Approved;23-11_R-400;BMW_mPAD_CP_SRS_Power_management_2812;QM
BMW-mPADCP-SWS-SwcFaultMgr-2183;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2833;QM
BMW-mPADCP-SWS-SwcFaultMgr-2184;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2834;QM
BMW-mPADCP-SWS-SwcFaultMgr-2185;1;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2835;QM
BMW-mPADCP-SWS-SwcFaultMgr-2191;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2820;QM
BMW-mPADCP-SWS-SwcFaultMgr-2193;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2822;QM
BMW-mPADCP-SWS-SwcFaultMgr-2245;1;Requirement;Changed;Approved;23-11_R-460;BMW_mPAD_CP_SRS_Power_management_4958;QM
BMW-mPADCP-SWS-SwcFaultMgr-2163;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2473;QM
BMW-mPADCP-SWS-SwcFaultMgr-2164;2;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2474;QM
BMW-mPADCP-SWS-SwcFaultMgr-2159;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3425;QM
BMW-mPADCP-SWS-SwcFaultMgr-2160;5;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_1772;QM
BMW-mPADCP-SWS-SwcFaultMgr-130;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2299;QM
BMW-mPADCP-SWS-SwcFaultMgr-1511;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2398;QM
BMW-mPADCP-SWS-SwcFaultMgr-136;2;Requirement;Added;Approved;23-11_R-505;BMW_mPAD_CP_SRS_Power_management_3868;QM
BMW-mPADCP-SWS-SwcFaultMgr-1051;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4433;QM
BMW-mPADCP-SWS-SwcFaultMgr-1052;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2043;QM
BMW-mPADCP-SWS-SwcFaultMgr-1053;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2044;QM
BMW-mPADCP-SWS-SwcFaultMgr-1054;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2045;QM
BMW-mPADCP-SWS-SwcFaultMgr-1055;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2046;QM
BMW-mPADCP-SWS-SwcFaultMgr-1056;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2047;QM
BMW-mPADCP-SWS-SwcFaultMgr-1057;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2048;QM
BMW-mPADCP-SWS-SwcFaultMgr-2289;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_6113;QM
BMW-mPADCP-SWS-SwcFaultMgr-141;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3422;QM
BMW-mPADCP-SWS-SwcFaultMgr-1539;3;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2959;QM
BMW-mPADCP-SWS-SwcFaultMgr-1587;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4452;QM
BMW-mPADCP-SWS-SwcFaultMgr-1101;1;Requirement;Changed;Approved;23-11_R-280;mPAD_CP_SwAD_9787;QM
BMW-mPADCP-SWS-SwcFaultMgr-152;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9384;QM
BMW-mPADCP-SWS-SwcFaultMgr-153;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9385;QM
BMW-mPADCP-SWS-SwcFaultMgr-154;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9386;QM
BMW-mPADCP-SWS-SwcFaultMgr-155;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9387;QM
BMW-mPADCP-SWS-SwcFaultMgr-156;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9388;QM
BMW-mPADCP-SWS-SwcFaultMgr-157;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9422;QM
BMW-mPADCP-SWS-SwcFaultMgr-158;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9423;QM
BMW-mPADCP-SWS-SwcFaultMgr-159;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9424;QM
BMW-mPADCP-SWS-SwcFaultMgr-1058;1;Requirement;Added;Approved;23-11_R-220;mPAD_CP_SwAD_10103;QM
BMW-mPADCP-SWS-SwcFaultMgr-1059;1;Requirement;Added;Approved;23-11_R-220;mPAD_CP_SwAD_10102;QM
BMW-mPADCP-SWS-SwcFaultMgr-161;1;Requirement;Added;Approved;23-11_R-220;mPAD_CP_SwAD_9028;QM
BMW-mPADCP-SWS-SwcFaultMgr-162;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9029;QM
BMW-mPADCP-SWS-SwcFaultMgr-163;1;Requirement;Added;Approved;23-11_R-220;mPAD_CP_SwAD_9030;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-164;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9415;QM
BMW-mPADCP-SWS-SwcFaultMgr-165;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9416;QM
BMW-mPADCP-SWS-SwcFaultMgr-166;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9420;QM
BMW-mPADCP-SWS-SwcFaultMgr-167;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9421;QM
BMW-mPADCP-SWS-SwcFaultMgr-169;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9020;QM
BMW-mPADCP-SWS-SwcFaultMgr-170;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9024;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-171;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9025;QM
BMW-mPADCP-SWS-SwcFaultMgr-172;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9026;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-173;1;Requirement;Added;Approved;23-11_R-480;mPAD_CP_SwAD_9027;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-174;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9418;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-175;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_9419;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-2305;1;Requirement;Added;Approved;23-11_R-480;mPAD_CP_SwAD_14416;ASIL-D
BMW-mPADCP-SWS-SwcFaultMgr-1079;1;Requirement;Added;Approved;23-11_R-280;mPAD_CP_SwAD_10113;QM
BMW-mPADCP-SWS-SwcFaultMgr-187;1;Requirement;Added;Approved;23-11_R-220;mPAD_CP_SwAD_8493;QM
BMW-mPADCP-SWS-SwcFaultMgr-2611;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7769;QM
BMW-mPADCP-SWS-SwcFaultMgr-2612;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7770;QM
BMW-mPADCP-SWS-SwcFaultMgr-2614;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7772;QM
BMW-mPADCP-SWS-SwcFaultMgr-2615;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7773;QM
BMW-mPADCP-SWS-SwcFaultMgr-2617;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7775;QM
BMW-mPADCP-SWS-SwcFaultMgr-2618;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7776;QM
BMW-mPADCP-SWS-SwcFaultMgr-2624;1;Requirement;Added;Approved;23-11_R-440;BMW_mPAD_CP_SRS_Power_management_7536;QM
BMW-mPADCP-SWS-SwcFaultMgr-2632;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_1771;QM
BMW-mPADCP-SWS-SwcFaultMgr-2633;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2391;QM
BMW-mPADCP-SWS-SwcFaultMgr-2642;1;Requirement;Added;Approved;N/A;mPAD_CP_SwAD_14809;QM
BMW-mPADCP-SWS-SwcFaultMgr-2648;1;Requirement;Added;Approved;23-11_R-420;mPAD_CP_SwAD_14823;ASIL-B
